Product,Issue,State,ZIP code,Submitted via,Date received,Company,Company response,Timely response?,Consumer disputed?
Credit card,APR or interest rate,IN,46342,Referral,11/2/12,Citibank,Closed with non-monetary relief,Yes,No
Credit card,Credit determination,IN,47118,Referral,10/11/12,Citibank,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46342,Phone,10/4/12,Citibank,Closed with explanation,Yes,No
Credit card,Billing statement,IN,46527,Web,9/18/12,Citibank,Closed with monetary relief,Yes,No
Credit card,Billing disputes,IN,46227,Web,8/14/12,Citibank,Closed with non-monetary relief,Yes,No
Credit card,Closing/Cancelling account,IN,46235,Referral,7/16/12,Citibank,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,19104,Web,6/29/12,Citibank,Closed with non-monetary relief,Yes,No
Credit card,Advertising and marketing,IN,46404,Web,6/21/12,Citibank,Closed with explanation,Yes,Yes
Credit card,Transaction issue,IN,46060,Web,6/20/12,Citibank,Closed with explanation,Yes,Yes
Credit card,APR or interest rate,IN,46268,Web,6/9/12,Citibank,Closed with explanation,Yes,No
Credit card,APR or interest rate,IN,46410,Web,6/4/12,Citibank,Closed with monetary relief,Yes,No
Credit card,Billing disputes,IN,46637,Referral,5/29/12,Citibank,Closed with monetary relief,Yes,No
Credit card,Advertising and marketing,IN,47909,Web,5/16/12,Citibank,Closed without relief,Yes,No
Credit card,Collection debt dispute,IN,46312,Web,5/10/12,Citibank,Closed without relief,Yes,No
Credit card,Billing disputes,IN,46342,Web,4/29/12,Citibank,Closed with relief,Yes,No
Credit card,Credit card protection / Debt protection,IN,46307,Phone,4/3/12,Citibank,Closed without relief,Yes,No
Credit card,Billing disputes,IN,46033,Phone,3/29/12,Citibank,Closed without relief,Yes,Yes
Credit card,Late fee,IN,47302,Web,3/4/12,Citibank,Closed with relief,Yes,No
Credit card,Other fee,IN,46135,Web,2/25/12,Citibank,Closed with relief,Yes,No
Credit card,Customer service / Customer relations,IN,46259,Web,1/26/12,Citibank,Closed without relief,No,No
Credit card,APR or interest rate,IN,46992,Web,1/18/12,Citibank,Closed with relief,Yes,No
Credit card,Billing statement,IN,46260,Web,1/7/12,Citibank,Closed without relief,Yes,No
Credit card,Billing statement,IN,46346,Web,12/10/11,Citibank,Closed with relief,Yes,No
Credit card,Collection debt dispute,IN,46320,Referral,12/1/11,Citibank,Closed with relief,Yes,No
Credit card,Billing disputes,IN,46237,Referral,8/6/14,Comerica,Closed with explanation,Yes,
Credit card,APR or interest rate,IN,47403,Web,8/20/14,Discover,Closed with monetary relief,Yes,Yes
Credit card,APR or interest rate,IN,46530,Web,8/1/14,Discover,Closed with explanation,Yes,Yes
Credit card,Billing disputes,IN,46181,Web,6/5/14,Discover,Closed with explanation,Yes,Yes
Credit card,APR or interest rate,IN,47546,Referral,11/19/13,Discover,Closed with explanation,Yes,No
Credit card,Advertising and marketing,IN,46060,Web,11/19/13,Discover,Closed with explanation,Yes,No
Credit card,Customer service / Customer relations,IN,46241,Web,3/7/13,Discover,Closed with explanation,Yes,Yes
Credit card,Billing disputes,IN,47577,Web,2/18/13,Discover,Closed with monetary relief,Yes,No
Credit card,Rewards,IN,46360,Web,2/4/13,Discover,Closed with explanation,Yes,No
Credit card,Other fee,IN,46226,Web,1/22/13,Discover,Closed with explanation,Yes,No
Credit card,APR or interest rate,IN,46226,Web,11/16/12,Discover,Closed with monetary relief,Yes,No
Credit card,Other,IN,47408,Web,11/9/12,Discover,Closed with explanation,Yes,No
Credit card,Credit reporting,IN,46404,Web,10/6/12,Discover,Closed with explanation,Yes,No
Credit card,Collection practices,IN,46231,Web,10/4/12,Discover,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,47117,Web,8/15/12,Discover,Closed with monetary relief,Yes,Yes
Credit card,APR or interest rate,IN,47805,Web,8/9/12,Discover,Closed with monetary relief,Yes,No
Credit card,Credit reporting,IN,46311,Phone,8/2/12,Discover,Closed with explanation,Yes,No
Credit card,Credit line increase/decrease,IN,46226,Referral,5/18/12,Discover,Closed with relief,Yes,No
Credit card,Credit reporting,IN,46077,Web,3/26/12,Discover,Closed without relief,Yes,No
Credit card,Billing disputes,IN,47460,Web,2/18/12,Discover,Closed with relief,Yes,No
Credit card,Other,IN,46936,Referral,2/1/12,Discover,Closed without relief,No,No
Credit card,Collection practices,IN,46227,Web,1/24/12,Discover,Closed without relief,Yes,Yes
Credit card,Closing/Cancelling account,IN,47805,Web,12/9/11,Discover,Closed without relief,Yes,No
Credit card,Closing/Cancelling account,IN,46123,Web,2/18/14,"Expert Global Solutions, Inc.",Closed with explanation,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46239,Referral,9/10/14,Fifth Third Bank,Closed with non-monetary relief,Yes,
Credit card,APR or interest rate,IN,47909,Web,8/21/14,Fifth Third Bank,Closed with monetary relief,Yes,
Credit card,Other fee,IN,47167,Web,5/28/14,Fifth Third Bank,Closed with monetary relief,Yes,No
Credit card,Closing/Cancelling account,IN,46234,Web,4/26/14,Fifth Third Bank,Closed with explanation,Yes,No
Credit card,Unsolicited issuance of credit card,IN,46220,Referral,4/10/14,Fifth Third Bank,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,47025,Referral,3/20/14,Fifth Third Bank,Closed with explanation,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46202,Phone,11/8/13,Fifth Third Bank,Closed with explanation,Yes,No
